tract_id,ndvi_min,ndvi_max,ndvi_mean,ndvi_25pctl,ndvi_50pctl,ndvi_75pctl,fraction_ndvi_gt_0_12
3712,0.0,255.0,5.1950947541301575,0.4797687861271676,1.0788177339901477,1.704225352112676,0.9059461615831532
4727,0.0,255.0,4.000808582700615,0.0,0.8023715415019763,1.3687150837988826,0.6198979438766326
1500,0.0,255.0,3.467135735166713,0.0,0.8278688524590164,1.3855421686746987,0.5981402327522914
126,0.0,255.0,3.934314260689544,0.3793103448275862,1.0384615384615383,1.7692307692307692,0.852776337665588
401,0.0,255.0,3.915351269443168,0.2,0.9821428571428572,1.7007299270072993,0.7766331804647343
114,0.0,255.0,4.723891063331815,0.497005988023952,1.0854700854700854,1.912,0.9010078324583812
117,0.0,255.0,4.132342531578845,0.452914798206278,1.121212121212121,1.7846153846153847,0.8982039964595753
3715,0.0,255.0,3.0595113171024884,0.0088495575221238,0.8333333333333334,1.2323232323232325,0.7099700274017956
109,0.0,255.0,4.242445556888688,0.4567901234567901,1.0657276995305165,1.7313432835820894,0.9141599027595428
110,0.0,255.0,4.250235150477353,0.4857142857142857,1.067632850241546,1.7883211678832116,0.9153111691909764
111,0.0,255.0,3.997539830787225,0.3394495412844037,1.0294117647058822,1.7761194029850746,0.8339761677400518
113,0.0,255.0,4.223094011198898,0.4685314685314685,1.0598290598290598,1.7313432835820894,0.8876277015777453
115,0.0,255.0,4.7903362539863314,0.5159817351598174,1.0975609756097562,1.9322033898305084,0.8974697323021199
116,0.0,255.0,3.9892951171583904,0.3428571428571428,1.0186915887850467,1.7007299270072993,0.842657913881299
118,0.0,255.0,3.390072553788313,0.273542600896861,0.9915966386554622,1.7218045112781954,0.8144569924511247
119,0.0,255.0,4.004760962634564,0.2764227642276423,0.948936170212766,1.6099290780141844,0.8188016088498686
120,0.0,255.0,4.497904862043197,0.3786407766990291,1.008849557522124,1.6715328467153283,0.8751171861833014
121,0.0,255.0,4.570485714710865,0.4835164835164835,1.087378640776699,1.7669172932330828,0.90172772866372
122,0.0,255.0,4.277474003699586,0.4851485148514851,1.109452736318408,1.8682170542635657,0.9100903311554744
123,0.0,255.0,4.701898462265719,0.3809523809523809,1.009433962264151,1.5408805031446542,0.8576000964101401
124,0.0,255.0,2.0904316295745464,0.0,0.0,1.108910891089109,0.4338543882365613
125,0.0,255.0,3.2336771243930533,0.0,0.940928270042194,1.440251572327044,0.7000935760340623
127,0.0,255.0,4.158829589027846,0.2696629213483146,1.008,1.8412698412698407,0.7929576821131523
128,0.0,255.0,4.539676614709021,0.3898305084745763,1.036866359447005,1.7874015748031495,0.8401618395075151
129,0.0,255.0,3.4010578966449,0.208955223880597,0.9912280701754386,1.573426573426573,0.7734660753018184
203,0.0,255.0,3.88366548014796,0.2631578947368421,0.990909090909091,1.7518796992481205,0.7994180782249394
204,0.0,255.0,5.560385613543231,0.5142857142857142,1.0970873786407769,2.257142857142857,0.900752417942274
205,0.0,255.0,5.453759361905604,0.4152046783625731,1.0730593607305936,2.720430107526881,0.8544543274891357
206,0.0,255.0,4.635622497760669,0.2842105263157894,1.008097165991903,1.878787878787879,0.8108074450540204
207,0.0,255.0,3.9044053019737697,0.286624203821656,1.0878048780487806,1.8031496062992125,0.7951835810399644
208,0.0,255.0,5.163224778967016,0.8818565400843882,1.213903743315508,2.0576923076923075,0.8853074447622805
300,0.0,255.0,3.076094640395028,0.0,0.3858267716535433,1.2666666666666666,0.5745062436869837
501,0.0,255.0,4.090390099549183,0.8875502008032129,1.2473118279569892,1.9421487603305785,0.9121536043093016
402,0.0,255.0,4.454010797155807,0.3621621621621622,1.0169491525423728,1.732824427480916,0.8618952124946919
601,0.0,255.0,2.239880664755057,0.0,0.0,1.100502512562814,0.443694869002417
603,0.0,255.0,3.811674639456743,0.0120481927710843,0.9827586206896552,1.6285714285714286,0.7176446844868448
704,0.0,255.0,2.4007526382496653,0.0,0.0,1.0669856459330145,0.4316309353338091
711,0.0,255.0,3.024827162415477,0.0,0.963302752293578,1.2872340425531914,0.695771159443261
712,0.0,255.0,3.559222393934932,0.0119521912350597,0.935483870967742,1.52,0.7140977534928219
1800,0.0,255.0,2.827813293348363,0.0,0.5506607929515418,1.5324675324675323,0.6486550928781827
2000,0.0,255.0,3.356782447433248,0.0,0.5222222222222223,1.3169398907103824,0.5861462465557107
2100,0.0,255.0,3.4230486500145343,0.0140845070422535,1.1347150259067358,1.9285714285714288,0.7382271022974597
2200,0.0,255.0,2.2173221618691668,0.0,0.3193717277486911,0.9823008849557522,0.5634941058229715
